Round,EventName,DriverNumber,Abbreviation,TeamName,Position,Points
1,Australian Grand Prix,63,RUS,Mercedes,1.0,25.0
1,Australian Grand Prix,12,ANT,Mercedes,2.0,18.0
1,Australian Grand Prix,16,LEC,Ferrari,3.0,15.0
1,Australian Grand Prix,44,HAM,Ferrari,4.0,12.0
1,Australian Grand Prix,1,NOR,McLaren,5.0,10.0
1,Australian Grand Prix,3,VER,Red Bull,6.0,8.0
1,Australian Grand Prix,87,BEA,Haas F1 Team,7.0,6.0
1,Australian Grand Prix,41,LIN,RB F1 Team,8.0,4.0
1,Australian Grand Prix,5,BOR,Audi,9.0,2.0
1,Australian Grand Prix,10,GAS,Alpine F1 Team,10.0,1.0
1,Australian Grand Prix,31,OCO,Haas F1 Team,11.0,0.0
1,Australian Grand Prix,23,ALB,Williams,12.0,0.0
1,Australian Grand Prix,30,LAW,RB F1 Team,13.0,0.0
1,Australian Grand Prix,43,COL,Alpine F1 Team,14.0,0.0
1,Australian Grand Prix,55,SAI,Williams,15.0,0.0
1,Australian Grand Prix,11,PER,Cadillac F1 Team,16.0,0.0
1,Australian Grand Prix,18,STR,Aston Martin,17.0,0.0
1,Australian Grand Prix,14,ALO,Aston Martin,18.0,0.0
1,Australian Grand Prix,77,BOT,Cadillac F1 Team,19.0,0.0
1,Australian Grand Prix,6,HAD,Red Bull,20.0,0.0
1,Australian Grand Prix,81,PIA,McLaren,21.0,0.0
1,Australian Grand Prix,27,HUL,Audi,22.0,0.0
3,Japanese Grand Prix,12,ANT,Mercedes,1.0,25.0
3,Japanese Grand Prix,81,PIA,McLaren,2.0,18.0
3,Japanese Grand Prix,16,LEC,Ferrari,3.0,15.0
3,Japanese Grand Prix,63,RUS,Mercedes,4.0,12.0
3,Japanese Grand Prix,1,NOR,McLaren,5.0,10.0
3,Japanese Grand Prix,44,HAM,Ferrari,6.0,8.0
3,Japanese Grand Prix,10,GAS,Alpine F1 Team,7.0,6.0
3,Japanese Grand Prix,3,VER,Red Bull,8.0,4.0
3,Japanese Grand Prix,30,LAW,RB F1 Team,9.0,2.0
3,Japanese Grand Prix,31,OCO,Haas F1 Team,10.0,1.0
3,Japanese Grand Prix,27,HUL,Audi,11.0,0.0
3,Japanese Grand Prix,6,HAD,Red Bull,12.0,0.0
3,Japanese Grand Prix,5,BOR,Audi,13.0,0.0
3,Japanese Grand Prix,41,LIN,RB F1 Team,14.0,0.0
3,Japanese Grand Prix,55,SAI,Williams,15.0,0.0
3,Japanese Grand Prix,43,COL,Alpine F1 Team,16.0,0.0
3,Japanese Grand Prix,11,PER,Cadillac F1 Team,17.0,0.0
3,Japanese Grand Prix,14,ALO,Aston Martin,18.0,0.0
3,Japanese Grand Prix,77,BOT,Cadillac F1 Team,19.0,0.0
3,Japanese Grand Prix,23,ALB,Williams,20.0,0.0
3,Japanese Grand Prix,18,STR,Aston Martin,21.0,0.0
3,Japanese Grand Prix,87,BEA,Haas F1 Team,22.0,0.0
6,Monaco Grand Prix,12,ANT,Mercedes,1.0,25.0
6,Monaco Grand Prix,44,HAM,Ferrari,2.0,18.0
6,Monaco Grand Prix,10,GAS,Alpine F1 Team,3.0,15.0
6,Monaco Grand Prix,6,HAD,Red Bull,4.0,12.0
6,Monaco Grand Prix,81,PIA,McLaren,5.0,10.0
6,Monaco Grand Prix,30,LAW,RB F1 Team,6.0,8.0
6,Monaco Grand Prix,41,LIN,RB F1 Team,7.0,6.0
6,Monaco Grand Prix,23,ALB,Williams,8.0,4.0
6,Monaco Grand Prix,31,OCO,Haas F1 Team,9.0,2.0
6,Monaco Grand Prix,14,ALO,Aston Martin,10.0,1.0
6,Monaco Grand Prix,5,BOR,Audi,11.0,0.0
6,Monaco Grand Prix,63,RUS,Mercedes,12.0,0.0
6,Monaco Grand Prix,27,HUL,Audi,13.0,0.0
6,Monaco Grand Prix,43,COL,Alpine F1 Team,14.0,0.0
6,Monaco Grand Prix,11,PER,Cadillac F1 Team,15.0,0.0
6,Monaco Grand Prix,55,SAI,Williams,16.0,0.0
6,Monaco Grand Prix,16,LEC,Ferrari,17.0,0.0
6,Monaco Grand Prix,18,STR,Aston Martin,18.0,0.0
6,Monaco Grand Prix,1,NOR,McLaren,19.0,0.0
6,Monaco Grand Prix,87,BEA,Haas F1 Team,20.0,0.0
6,Monaco Grand Prix,77,BOT,Cadillac F1 Team,21.0,0.0
6,Monaco Grand Prix,3,VER,Red Bull,22.0,0.0
7,Barcelona Grand Prix,44,HAM,Ferrari,1.0,25.0
7,Barcelona Grand Prix,63,RUS,Mercedes,2.0,18.0
7,Barcelona Grand Prix,1,NOR,McLaren,3.0,15.0
7,Barcelona Grand Prix,3,VER,Red Bull,4.0,12.0
7,Barcelona Grand Prix,81,PIA,McLaren,5.0,10.0
7,Barcelona Grand Prix,6,HAD,Red Bull,6.0,8.0
7,Barcelona Grand Prix,10,GAS,Alpine F1 Team,7.0,6.0
7,Barcelona Grand Prix,30,LAW,RB F1 Team,8.0,4.0
7,Barcelona Grand Prix,41,LIN,RB F1 Team,9.0,2.0
7,Barcelona Grand Prix,43,COL,Alpine F1 Team,10.0,1.0
7,Barcelona Grand Prix,5,BOR,Audi,11.0,0.0
7,Barcelona Grand Prix,55,SAI,Williams,12.0,0.0
7,Barcelona Grand Prix,31,OCO,Haas F1 Team,13.0,0.0
7,Barcelona Grand Prix,11,PER,Cadillac F1 Team,14.0,0.0
7,Barcelona Grand Prix,16,LEC,Ferrari,15.0,0.0
7,Barcelona Grand Prix,12,ANT,Mercedes,16.0,0.0
7,Barcelona Grand Prix,87,BEA,Haas F1 Team,17.0,0.0
7,Barcelona Grand Prix,23,ALB,Williams,18.0,0.0
7,Barcelona Grand Prix,14,ALO,Aston Martin,19.0,0.0
7,Barcelona Grand Prix,27,HUL,Audi,20.0,0.0
7,Barcelona Grand Prix,77,BOT,Cadillac F1 Team,21.0,0.0
7,Barcelona Grand Prix,18,STR,Aston Martin,22.0,0.0
8,Austrian Grand Prix,63,RUS,Mercedes,1.0,25.0
8,Austrian Grand Prix,3,VER,Red Bull,2.0,18.0
8,Austrian Grand Prix,12,ANT,Mercedes,3.0,15.0
8,Austrian Grand Prix,81,PIA,McLaren,4.0,12.0
8,Austrian Grand Prix,44,HAM,Ferrari,5.0,10.0
8,Austrian Grand Prix,6,HAD,Red Bull,6.0,8.0
8,Austrian Grand Prix,1,NOR,McLaren,7.0,6.0
8,Austrian Grand Prix,16,LEC,Ferrari,8.0,4.0
8,Austrian Grand Prix,30,LAW,RB F1 Team,9.0,2.0
8,Austrian Grand Prix,41,LIN,RB F1 Team,10.0,1.0
8,Austrian Grand Prix,5,BOR,Audi,11.0,0.0
8,Austrian Grand Prix,27,HUL,Audi,12.0,0.0
